,Model,Input shape,Layers,Units,Learning rate,Root Mean Squared Errors (validation)
313,MPL,24,2,32,0.0001,0.4596254165496789
314,simpl_RNN,24,2,32,0.0001,0.5091975361190954
315,LSTM,24,2,32,0.0001,0.645013545982199
316,BI_LSTM,24,2,32,0.0001,1.7001304507794417
317,CNN,24,2,32,0.0001,0.7498609288106544
318,NN,24,2,32,1e-05,1.5785288671616304
319,MPL,24,2,32,1e-05,1.0657185296138352
320,simpl_RNN,24,2,32,1e-05,0.8203716694418474
321,LSTM,24,2,32,1e-05,1.7057157660610858
322,BI_LSTM,24,2,32,1e-05,1.2885521135232334
323,CNN,24,2,32,1e-05,1.1954973101471758
324,NN,12,2,64,0.001,0.9600406524064358
325,MPL,12,2,64,0.001,0.6861845237450078
326,simpl_RNN,12,2,64,0.001,0.6030272302395487
327,LSTM,12,2,64,0.001,0.3308364982959377
328,BI_LSTM,12,2,64,0.001,0.5457495547193509
329,CNN,12,2,64,0.001,0.6162026343322325
330,NN,12,2,64,0.0001,0.5163116952963746
331,MPL,12,2,64,0.0001,1.3009542966067191
332,simpl_RNN,12,2,64,0.0001,0.3023228059013852
333,LSTM,12,2,64,0.0001,0.8863177677241678
334,BI_LSTM,12,2,64,0.0001,1.0925175372063451
335,CNN,12,2,64,0.0001,0.9987141250317062
336,NN,12,2,64,1e-05,0.8521227691875252
337,MPL,12,2,64,1e-05,0.8306785211739409
338,simpl_RNN,12,2,64,1e-05,0.6380235585614829
339,LSTM,12,2,64,1e-05,1.183276192045622
340,BI_LSTM,12,2,64,1e-05,1.4880055003522408
341,CNN,12,2,64,1e-05,1.0798276611148825
342,NN,18,2,64,0.001,0.5787649025237153
343,MPL,18,2,64,0.001,0.5420940713017591
344,simpl_RNN,18,2,64,0.001,0.189713417416302
345,LSTM,18,2,64,0.001,
346,BI_LSTM,18,2,64,0.001,
347,CNN,18,2,64,0.001,0.7022922729340627
348,NN,18,2,64,0.0001,0.5396788457640648
349,MPL,18,2,64,0.0001,0.5017565872391488
350,simpl_RNN,18,2,64,0.0001,0.2634008363636914
351,LSTM,18,2,64,0.0001,1.3044963559787266
352,BI_LSTM,18,2,64,0.0001,1.3720027497691585
353,CNN,18,2,64,0.0001,0.6748638013507532
354,NN,18,2,64,1e-05,0.755105850218459
355,MPL,18,2,64,1e-05,0.8621703198270729
356,simpl_RNN,18,2,64,1e-05,1.1254334545416715
357,LSTM,18,2,64,1e-05,1.0341064702137073
358,BI_LSTM,18,2,64,1e-05,1.1312676280875986
359,CNN,18,2,64,1e-05,0.9144726722471412
360,NN,24,2,64,0.001,0.6294070671256622
361,MPL,24,2,64,0.001,0.8564451513592971
362,simpl_RNN,24,2,64,0.001,0.5848020182067913
363,LSTM,24,2,64,0.001,0.8481246978554576
364,BI_LSTM,24,2,64,0.001,
365,CNN,24,2,64,0.001,1.381464020539438
366,NN,24,2,64,0.0001,1.2364267614067834
367,MPL,24,2,64,0.0001,0.5064745755563352
368,simpl_RNN,24,2,64,0.0001,0.1735719535127357
369,LSTM,24,2,64,0.0001,0.6089587163821849
370,BI_LSTM,24,2,64,0.0001,0.9042007886163856
371,CNN,24,2,64,0.0001,0.7296977355238052
372,NN,24,2,64,1e-05,1.093963876571693
373,MPL,24,2,64,1e-05,0.7904008071699257
374,simpl_RNN,24,2,64,1e-05,0.7829104922496067
375,LSTM,24,2,64,1e-05,1.1117317768303268
376,BI_LSTM,24,2,64,1e-05,1.7644798450073218
377,CNN,24,2,64,1e-05,1.1252268397766336
378,NN,12,2,128,0.001,0.3005837476220747
379,MPL,12,2,128,0.001,0.419858298347438
380,simpl_RNN,12,2,128,0.001,0.2117670312767274
381,LSTM,12,2,128,0.001,0.360481633336735
382,BI_LSTM,12,2,128,0.001,1.0405842641460172
383,CNN,12,2,128,0.001,0.9892995001206376
384,NN,12,2,128,0.0001,0.4155126506740567
385,MPL,12,2,128,0.0001,0.7687958262275122
386,simpl_RNN,12,2,128,0.0001,0.2805663377272885
387,LSTM,12,2,128,0.0001,0.8459391334011909
388,BI_LSTM,12,2,128,0.0001,1.3435860179053123
389,CNN,12,2,128,0.0001,1.0011433069481317
390,NN,12,2,128,1e-05,0.7070990595946076
391,MPL,12,2,128,1e-05,0.6714142817188469
392,simpl_RNN,12,2,128,1e-05,0.5415075233411796
393,LSTM,12,2,128,1e-05,1.1213840420020071
394,BI_LSTM,12,2,128,1e-05,1.14400356948452
395,CNN,12,2,128,1e-05,1.1478412770947275
396,NN,18,2,128,0.001,0.5228588263361625
397,MPL,18,2,128,0.001,0.5454670815294392
398,simpl_RNN,18,2,128,0.001,0.4035100433222054
399,LSTM,18,2,128,0.001,0.5791836857737538
400,BI_LSTM,18,2,128,0.001,0.3804632027742453
401,CNN,18,2,128,0.001,0.7587653940266863
402,NN,18,2,128,0.0001,0.5478127741508868
403,MPL,18,2,128,0.0001,0.5308247660650798
404,simpl_RNN,18,2,128,0.0001,0.2461366511353173
405,LSTM,18,2,128,0.0001,1.1478118438924012
406,BI_LSTM,18,2,128,0.0001,1.1546083981494053
407,CNN,18,2,128,0.0001,0.7155071646968869
408,NN,18,2,128,1e-05,0.7531308357736156
409,MPL,18,2,128,1e-05,0.8523688294588501
410,simpl_RNN,18,2,128,1e-05,0.6229059136405766
411,LSTM,18,2,128,1e-05,1.0024678228342228
412,BI_LSTM,18,2,128,1e-05,1.1552154338981522
413,CNN,18,2,128,1e-05,1.0362583392561615
414,NN,24,2,128,0.001,0.7424681952163117
415,MPL,24,2,128,0.001,0.4956324819006035
416,simpl_RNN,24,2,128,0.001,0.3921494700620566
417,LSTM,24,2,128,0.001,0.4424475274542331
418,BI_LSTM,24,2,128,0.001,0.4994309948182008
419,CNN,24,2,128,0.001,0.673868495855797
420,NN,24,2,128,0.0001,0.5239410130093602
421,MPL,24,2,128,0.0001,0.5709638450144295
422,simpl_RNN,24,2,128,0.0001,0.2453096527709808
423,LSTM,24,2,128,0.0001,1.0721358809063843
424,BI_LSTM,24,2,128,0.0001,1.158614772887113
425,CNN,24,2,128,0.0001,0.6639012569089581
426,NN,24,2,128,1e-05,0.8935635506381733
427,MPL,24,2,128,1e-05,0.9656472039112404
428,simpl_RNN,24,2,128,1e-05,0.600403394788771
429,LSTM,24,2,128,1e-05,1.2607066211618705
430,BI_LSTM,24,2,128,1e-05,1.1125740142709042
431,CNN,24,2,128,1e-05,1.1328367109434798
432,NN,12,3,16,0.001,0.6629686532347019
433,MPL,12,3,16,0.001,0.8356350004685996
434,simpl_RNN,12,3,16,0.001,0.4444240571368095
435,LSTM,12,3,16,0.001,0.328940048859863
436,BI_LSTM,12,3,16,0.001,1.3028093369406009
437,CNN,12,3,16,0.001,0.7270145330014136
438,NN,12,3,16,0.0001,0.5345634561260457
439,MPL,12,3,16,0.0001,0.4885866101979329
440,simpl_RNN,12,3,16,0.0001,0.395310041819457
441,LSTM,12,3,16,0.0001,1.893280453436464
442,BI_LSTM,12,3,16,0.0001,0.8255218156102165
443,CNN,12,3,16,0.0001,0.946702521905409
444,NN,12,3,16,1e-05,0.8967607432337225
445,MPL,12,3,16,1e-05,1.014519737366376
