date,CPI
2004-07-01,76.7788785593468
2004-08-01,76.9508636674361
2004-09-01,79.596283459801
2004-10-01,79.6448594063605
2004-11-01,80.2461508529626
2004-12-01,80.0689142911912
2005-01-01,82.0670924172356
2005-02-01,82.5222050943258
2005-03-01,82.9039125009176
2005-04-01,83.1755120017617
2005-05-01,82.045070836086
2005-06-01,81.7881523893416
2005-07-01,81.2376128606034
2005-08-01,80.9586728327094
2005-09-01,80.885267562211
2005-10-01,81.2743154958526
2005-11-01,81.2155912794539
2005-12-01,81.8395360786905
2006-01-01,82.5809293107245
2006-02-01,82.3240108639801
2006-03-01,83.1388093665125
2006-04-01,83.9829699772444
2006-05-01,83.8214783821478
2006-06-01,83.4838141378551
2006-07-01,82.8672098656684
2006-08-01,83.6086030977024
2006-09-01,84.232547896939
2006-10-01,85.0473463994715
2006-11-01,84.5408500330324
2006-12-01,84.9812816560229
2007-01-01,84.5408500330324
2007-02-01,85.0473463994715
2007-03-01,85.6859722528078
2007-04-01,85.3262864273655
2007-05-01,84.9372384937239
2007-06-01,86.2218307274462
2007-07-01,86.8457755266828
2007-08-01,87.2641855685238
2007-09-01,88.7836746678412
2007-10-01,89.2387873449314
2007-11-01,88.6148425456948
2007-12-01,89.0626146957351
2008-01-01,88.37260515305
2008-02-01,89.1286794391837
2008-03-01,90.7142332819496
2008-04-01,90.7362548630992
2008-05-01,90.5967848491522
2008-06-01,89.76730529252
2008-07-01,89.1066578580342
2008-08-01,91.257432283638
2008-09-01,92.931072451002
2008-10-01,92.9384129780518
2008-11-01,93.2320340600455
2008-12-01,93.3935256551421
2009-01-01,93.210012478896
2009-02-01,94.6267341995155
2009-03-01,95.7938780004404
2009-04-01,96.0214343389855
2009-05-01,93.8412978051824
2009-06-01,94.1422594142259
2009-07-01,95.6030242971445
2009-08-01,97.1885781399104
2009-09-01,98.3337003596858
2009-10-01,98.5318945900316
2009-11-01,98.7741319826764
2009-12-01,98.7667914556265
2010-01-01,98.0107171694928
2010-02-01,98.5539161711811
2010-03-01,99.3099904573148
2010-04-01,98.3850840490347
2010-05-01,99.7284004991559
2010-06-01,99.8898920942524
2010-07-01,99.3907362548631
2010-08-01,101.035014314028
2010-09-01,100.770755340233
2010-10-01,101.306613814872
2010-11-01,102.158114952654
2010-12-01,101.460764882919
2011-01-01,101.512148572267
2011-02-01,101.981942303457
2011-03-01,102.723335535491
2011-04-01,102.848124495339
2011-05-01,103.596858254423
2011-06-01,103.574836673273
2011-07-01,104.580488879102
2011-08-01,106.812009102254
2011-09-01,105.938486383322
2011-10-01,106.841371210453
2011-11-01,107.186375981796
2011-12-01,106.694560669456
2012-01-01,109.160977758203
2012-02-01,111.509946414153
2012-03-01,113.124862365118
2012-04-01,114.137855097996
2012-05-01,112.897306026573
2012-06-01,112.55964178228
2012-07-01,113.161565000367
2012-08-01,114.490200396388
2012-09-01,115.172869412024
2012-10-01,117.411730162226
